student_id,weakest_sub,weakest_sub_enc,addition_score,addition_ratio,addition_correct,comparing_fractions_score,comparing_fractions_ratio,comparing_fractions_correct,division_score,division_ratio,division_correct,fraction_to_decimal_score,fraction_to_decimal_ratio,fraction_to_decimal_correct,multiplication_score,multiplication_ratio,multiplication_correct,ordering_fractions_score,ordering_fractions_ratio,ordering_fractions_correct,simplifying_fractions_score,simplifying_fractions_ratio,simplifying_fractions_correct,subtraction_score,subtraction_ratio,subtraction_correct
S05433,Ordering Fractions,5,16,0.8,4,18,0.9,4,14,0.7,3,12,0.6,3,16,0.8,4,4,0.2,1,12,0.6,3,20,1.0,5
S03538,Comparing Fractions,1,14,0.7,3,6,0.3,1,12,0.6,3,8,0.4,2,16,0.8,3,12,0.6,2,12,0.6,3,18,0.9,4
S01737,Fraction to Decimal,3,8,0.4,1,12,0.6,3,18,0.9,4,8,0.4,2,10,0.5,2,14,0.7,3,8,0.4,1,12,0.6,3
S04254,Division,2,12,0.6,3,6,0.3,0,2,0.1,0,8,0.4,0,10,0.5,2,16,0.8,4,14,0.7,3,14,0.7,3
S04213,Simplifying Fractions,6,8,0.4,2,12,0.6,3,18,0.9,4,8,0.4,2,12,0.6,2,14,0.7,3,6,0.3,1,14,0.7,3
S04321,Subtraction,7,8,0.4,2,14,0.7,3,16,0.8,4,8,0.4,2,16,0.8,4,6,0.3,1,12,0.6,2,4,0.2,0
S04806,Division,2,14,0.7,3,14,0.7,3,8,0.4,2,16,0.8,4,14,0.7,3,12,0.6,2,12,0.6,2,14,0.7,3
S03462,Simplifying Fractions,6,12,0.6,2,14,0.7,3,18,0.9,4,12,0.6,2,20,1.0,5,12,0.6,3,6,0.3,1,10,0.5,2
S03053,Addition,0,4,0.2,1,12,0.6,3,4,0.2,1,4,0.2,0,8,0.4,1,10,0.5,1,8,0.4,2,8,0.4,2
S03341,Comparing Fractions,1,12,0.6,3,6,0.3,1,16,0.8,4,16,0.8,3,14,0.7,3,16,0.8,4,14,0.7,3,14,0.7,3
S04962,Subtraction,7,12,0.6,3,18,0.9,4,14,0.7,3,8,0.4,2,10,0.5,2,16,0.8,4,6,0.3,1,4,0.2,1
S06267,Simplifying Fractions,6,16,0.8,4,16,0.8,4,12,0.6,3,12,0.6,3,20,1.0,5,8,0.4,2,4,0.2,1,20,1.0,5
S03965,Multiplication,4,18,0.9,4,16,0.8,4,12,0.6,2,14,0.7,3,10,0.5,2,12,0.6,2,14,0.7,3,12,0.6,3
S00408,Comparing Fractions,1,16,0.8,4,6,0.3,1,12,0.6,3,10,0.5,2,20,1.0,5,8,0.4,2,16,0.8,4,12,0.6,3
S04291,Ordering Fractions,5,10,0.5,2,8,0.4,1,12,0.6,3,12,0.6,3,10,0.5,2,4,0.2,1,8,0.4,2,6,0.3,0
S06096,Division,2,16,0.8,4,12,0.6,3,4,0.2,1,8,0.4,2,12,0.6,3,12,0.6,3,16,0.8,4,16,0.8,4
S04346,Addition,0,4,0.2,0,16,0.8,4,20,1.0,5,4,0.2,1,14,0.7,3,20,1.0,5,20,1.0,5,12,0.6,3
S00755,Simplifying Fractions,6,18,0.9,4,14,0.7,3,10,0.5,2,8,0.4,1,18,0.9,4,16,0.8,4,8,0.4,1,12,0.6,3
S05270,Division,2,10,0.5,2,12,0.6,3,8,0.4,2,12,0.6,3,20,1.0,5,16,0.8,4,20,1.0,5,12,0.6,3
S05376,Multiplication,4,18,0.9,4,20,1.0,5,20,1.0,5,12,0.6,3,8,0.4,2,20,1.0,5,12,0.6,3,10,0.5,2
S00808,Division,2,18,0.9,4,14,0.7,3,4,0.2,1,12,0.6,2,12,0.6,2,16,0.8,3,8,0.4,2,12,0.6,2
S05252,Comparing Fractions,1,4,0.2,1,0,0.0,0,12,0.6,3,8,0.4,2,14,0.7,3,12,0.6,3,12,0.6,3,10,0.5,2
S00352,Comparing Fractions,1,10,0.5,2,4,0.2,0,16,0.8,3,10,0.5,2,14,0.7,3,10,0.5,1,8,0.4,2,16,0.8,3
S05823,Division,2,12,0.6,3,8,0.4,2,4,0.2,1,8,0.4,2,14,0.7,3,14,0.7,3,14,0.7,3,16,0.8,4
S04498,Simplifying Fractions,6,12,0.6,2,16,0.8,4,12,0.6,3,14,0.7,3,20,1.0,5,16,0.8,4,10,0.5,2,14,0.7,3
S04357,Fraction to Decimal,3,16,0.8,4,12,0.6,3,8,0.4,2,2,0.1,0,14,0.7,2,4,0.2,1,4,0.2,0,12,0.6,3
S05631,Multiplication,4,6,0.3,1,8,0.4,2,8,0.4,2,6,0.3,1,6,0.3,1,8,0.4,2,14,0.7,3,14,0.7,3
S03704,Subtraction,7,14,0.7,3,20,1.0,5,14,0.7,3,12,0.6,2,16,0.8,4,16,0.8,4,20,1.0,5,10,0.5,2
S03293,Comparing Fractions,1,16,0.8,4,4,0.2,0,16,0.8,4,8,0.4,2,20,1.0,5,20,1.0,5,18,0.9,4,8,0.4,2
S06316,Simplifying Fractions,6,12,0.6,3,12,0.6,3,8,0.4,2,12,0.6,3,12,0.6,3,12,0.6,3,0,0.0,0,12,0.6,3
S00545,Comparing Fractions,1,6,0.3,0,2,0.1,0,16,0.8,4,12,0.6,2,18,0.9,4,4,0.2,0,16,0.8,3,12,0.6,2
S05066,Addition,0,4,0.2,1,8,0.4,2,4,0.2,1,12,0.6,3,4,0.2,1,8,0.4,2,8,0.4,2,4,0.2,1
S02801,Addition,0,4,0.2,1,10,0.5,2,16,0.8,4,12,0.6,2,14,0.7,3,18,0.9,4,10,0.5,2,12,0.6,2
S06270,Simplifying Fractions,6,12,0.6,3,12,0.6,3,16,0.8,4,20,1.0,5,8,0.4,2,16,0.8,4,8,0.4,2,12,0.6,3
S01291,Division,2,8,0.4,1,6,0.3,0,4,0.2,1,14,0.7,3,14,0.7,3,6,0.3,1,8,0.4,2,10,0.5,2
S05878,Simplifying Fractions,6,4,0.2,1,16,0.8,4,12,0.6,3,10,0.5,2,4,0.2,1,16,0.8,4,4,0.2,1,16,0.8,4
S00976,Multiplication,4,16,0.8,4,16,0.8,4,10,0.5,2,8,0.4,1,2,0.1,0,8,0.4,1,10,0.5,2,12,0.6,2
S01979,Simplifying Fractions,6,10,0.5,1,12,0.6,3,12,0.6,3,10,0.5,1,8,0.4,1,12,0.6,3,4,0.2,0,8,0.4,1
S06303,Addition,0,0,0.0,0,8,0.4,2,16,0.8,4,12,0.6,3,12,0.6,3,8,0.4,2,0,0.0,0,16,0.8,4
S05520,Comparing Fractions,1,8,0.4,2,4,0.2,1,14,0.7,3,18,0.9,4,18,0.9,4,20,1.0,5,14,0.7,3,16,0.8,4
S02665,Multiplication,4,18,0.9,4,12,0.6,2,16,0.8,3,20,1.0,5,8,0.4,1,20,1.0,5,14,0.7,3,16,0.8,4
S02714,Comparing Fractions,1,10,0.5,2,6,0.3,1,18,0.9,4,12,0.6,3,16,0.8,4,12,0.6,3,20,1.0,5,10,0.5,2
S02684,Multiplication,4,10,0.5,2,8,0.4,1,12,0.6,3,16,0.8,4,6,0.3,1,14,0.7,3,8,0.4,1,12,0.6,3
S02089,Subtraction,7,16,0.8,4,14,0.7,3,18,0.9,4,14,0.7,3,10,0.5,2,10,0.5,2,16,0.8,4,6,0.3,1
S05942,Fraction to Decimal,3,20,1.0,5,4,0.2,1,10,0.5,2,0,0.0,0,8,0.4,2,12,0.6,3,12,0.6,3,10,0.5,2
S02661,Multiplication,4,8,0.4,1,16,0.8,4,16,0.8,4,6,0.3,1,0,0.0,0,18,0.9,4,18,0.9,4,2,0.1,0
S04647,Ordering Fractions,5,6,0.3,0,12,0.6,3,18,0.9,4,8,0.4,1,12,0.6,2,4,0.2,0,18,0.9,4,8,0.4,2
S01317,Comparing Fractions,1,12,0.6,3,2,0.1,0,14,0.7,3,14,0.7,3,10,0.5,1,12,0.6,3,16,0.8,3,16,0.8,4
S04384,Fraction to Decimal,3,8,0.4,1,8,0.4,2,8,0.4,1,2,0.1,0,10,0.5,2,16,0.8,4,16,0.8,4,12,0.6,3
S02424,Division,2,16,0.8,3,16,0.8,4,6,0.3,1,16,0.8,4,20,1.0,5,12,0.6,1,14,0.7,3,16,0.8,4
S02655,Division,2,16,0.8,4,10,0.5,2,4,0.2,0,12,0.6,3,10,0.5,1,10,0.5,2,10,0.5,2,16,0.8,4
S04288,Simplifying Fractions,6,12,0.6,3,12,0.6,3,12,0.6,2,14,0.7,3,10,0.5,2,14,0.7,3,8,0.4,2,12,0.6,3
S05905,Division,2,2,0.1,0,4,0.2,1,0,0.0,0,8,0.4,2,12,0.6,3,0,0.0,0,16,0.8,4,16,0.8,4
S00998,Fraction to Decimal,3,12,0.6,2,14,0.7,3,16,0.8,4,8,0.4,1,10,0.5,2,10,0.5,2,16,0.8,4,16,0.8,4
S04051,Subtraction,7,12,0.6,2,16,0.8,4,14,0.7,3,14,0.7,3,16,0.8,4,12,0.6,3,14,0.7,3,10,0.5,2
S02000,Fraction to Decimal,3,12,0.6,2,14,0.7,3,12,0.6,3,4,0.2,0,12,0.6,3,10,0.5,2,18,0.9,4,14,0.7,3
S01999,Comparing Fractions,1,4,0.2,0,2,0.1,0,10,0.5,2,14,0.7,3,16,0.8,4,6,0.3,1,10,0.5,1,16,0.8,3
S01107,Addition,0,2,0.1,0,20,1.0,5,8,0.4,2,4,0.2,0,12,0.6,3,20,1.0,5,18,0.9,4,14,0.7,3
S02573,Addition,0,4,0.2,0,10,0.5,2,6,0.3,1,14,0.7,3,14,0.7,3,10,0.5,2,10,0.5,1,12,0.6,2
S05736,Ordering Fractions,5,12,0.6,3,8,0.4,2,8,0.4,2,6,0.3,1,14,0.7,3,0,0.0,0,20,1.0,5,10,0.5,2
S05389,Division,2,8,0.4,2,20,1.0,5,8,0.4,2,12,0.6,3,10,0.5,2,12,0.6,3,14,0.7,3,8,0.4,2
S02379,Addition,0,6,0.3,1,16,0.8,4,10,0.5,1,10,0.5,2,14,0.7,3,14,0.7,2,20,1.0,5,16,0.8,4
S05714,Comparing Fractions,1,14,0.7,3,6,0.3,1,16,0.8,4,10,0.5,2,12,0.6,3,18,0.9,4,8,0.4,2,16,0.8,4
S05818,Division,2,12,0.6,3,4,0.2,1,4,0.2,1,14,0.7,3,12,0.6,3,8,0.4,2,20,1.0,5,8,0.4,2
S00163,Comparing Fractions,1,8,0.4,2,6,0.3,1,6,0.3,1,16,0.8,3,14,0.7,2,8,0.4,1,14,0.7,3,14,0.7,3
S02412,Comparing Fractions,1,14,0.7,3,2,0.1,0,16,0.8,3,16,0.8,4,12,0.6,3,10,0.5,2,10,0.5,2,14,0.7,3
S06081,Fraction to Decimal,3,12,0.6,3,8,0.4,2,12,0.6,3,0,0.0,0,4,0.2,1,12,0.6,3,16,0.8,4,0,0.0,0
S05851,Subtraction,7,8,0.4,2,4,0.2,1,10,0.5,2,14,0.7,3,8,0.4,2,4,0.2,1,6,0.3,1,0,0.0,0
S01502,Addition,0,6,0.3,1,20,1.0,5,8,0.4,1,8,0.4,1,12,0.6,3,12,0.6,3,8,0.4,2,14,0.7,3
S05089,Division,2,14,0.7,3,8,0.4,2,4,0.2,1,8,0.4,2,20,1.0,5,16,0.8,4,18,0.9,4,8,0.4,2
S04566,Multiplication,4,18,0.9,4,16,0.8,4,12,0.6,3,16,0.8,3,10,0.5,2,16,0.8,4,16,0.8,3,18,0.9,4
S06139,Simplifying Fractions,6,16,0.8,4,12,0.6,3,8,0.4,2,8,0.4,2,12,0.6,3,16,0.8,4,8,0.4,2,12,0.6,3
S00226,Simplifying Fractions,6,12,0.6,3,12,0.6,2,16,0.8,4,12,0.6,3,10,0.5,2,12,0.6,3,8,0.4,2,8,0.4,2
S02979,Multiplication,4,12,0.6,2,10,0.5,2,16,0.8,3,14,0.7,3,8,0.4,2,16,0.8,3,12,0.6,3,14,0.7,3
S04541,Division,2,4,0.2,0,8,0.4,1,4,0.2,0,4,0.2,0,10,0.5,2,6,0.3,1,18,0.9,4,10,0.5,1
S01436,Subtraction,7,8,0.4,1,14,0.7,3,12,0.6,2,10,0.5,2,16,0.8,4,18,0.9,4,16,0.8,3,4,0.2,1
S01005,Division,2,20,1.0,5,8,0.4,1,4,0.2,0,6,0.3,1,20,1.0,5,8,0.4,1,12,0.6,2,14,0.7,3
S01580,Comparing Fractions,1,8,0.4,2,6,0.3,1,18,0.9,4,16,0.8,4,20,1.0,5,12,0.6,3,12,0.6,2,10,0.5,2
S01730,Comparing Fractions,1,14,0.7,2,2,0.1,0,12,0.6,2,6,0.3,0,6,0.3,1,6,0.3,1,6,0.3,0,6,0.3,1
S02963,Subtraction,7,14,0.7,3,10,0.5,2,16,0.8,4,16,0.8,4,20,1.0,5,18,0.9,4,18,0.9,4,6,0.3,1
S04991,Comparing Fractions,1,12,0.6,2,2,0.1,0,12,0.6,2,4,0.2,1,14,0.7,3,18,0.9,4,8,0.4,2,10,0.5,2
S03693,Subtraction,7,20,1.0,5,14,0.7,3,16,0.8,4,12,0.6,3,20,1.0,5,12,0.6,3,16,0.8,4,10,0.5,2
S01045,Fraction to Decimal,3,16,0.8,4,14,0.7,3,18,0.9,4,10,0.5,2,18,0.9,4,12,0.6,2,16,0.8,3,14,0.7,3
S05067,Division,2,4,0.2,1,20,1.0,5,0,0.0,0,0,0.0,0,16,0.8,4,2,0.1,0,4,0.2,1,8,0.4,2
S03291,Addition,0,10,0.5,2,12,0.6,3,14,0.7,3,12,0.6,2,18,0.9,4,18,0.9,4,12,0.6,3,10,0.5,2
S03119,Addition,0,8,0.4,2,16,0.8,3,18,0.9,4,14,0.7,3,10,0.5,1,14,0.7,3,12,0.6,3,18,0.9,4
S00348,Addition,0,2,0.1,0,14,0.7,3,4,0.2,0,12,0.6,3,16,0.8,4,8,0.4,2,10,0.5,2,8,0.4,2
S01141,Addition,0,2,0.1,0,8,0.4,2,6,0.3,1,18,0.9,4,8,0.4,2,16,0.8,4,20,1.0,5,6,0.3,1
S01389,Addition,0,4,0.2,1,12,0.6,2,18,0.9,4,12,0.6,3,18,0.9,4,16,0.8,4,14,0.7,3,10,0.5,2
S01603,Subtraction,7,16,0.8,4,16,0.8,4,8,0.4,2,6,0.3,1,12,0.6,2,8,0.4,2,12,0.6,3,4,0.2,1
S00045,Simplifying Fractions,6,8,0.4,1,12,0.6,2,12,0.6,3,10,0.5,2,14,0.7,3,18,0.9,4,8,0.4,1,12,0.6,3
S01337,Multiplication,4,12,0.6,3,14,0.7,3,10,0.5,2,12,0.6,2,8,0.4,1,14,0.7,3,12,0.6,3,16,0.8,4
S04148,Addition,0,4,0.2,1,12,0.6,3,16,0.8,4,14,0.7,3,10,0.5,1,6,0.3,1,20,1.0,5,16,0.8,4
S04597,Division,2,8,0.4,1,12,0.6,3,4,0.2,1,8,0.4,1,8,0.4,2,16,0.8,4,12,0.6,1,16,0.8,3
S02434,Simplifying Fractions,6,14,0.7,3,16,0.8,3,16,0.8,3,8,0.4,2,10,0.5,2,16,0.8,4,6,0.3,0,12,0.6,3
S04535,Division,2,10,0.5,2,12,0.6,2,2,0.1,0,14,0.7,3,18,0.9,4,10,0.5,2,12,0.6,3,18,0.9,4
S00754,Ordering Fractions,5,14,0.7,3,10,0.5,2,8,0.4,1,6,0.3,1,18,0.9,4,2,0.1,0,10,0.5,2,8,0.4,1
S05425,Simplifying Fractions,6,8,0.4,2,10,0.5,2,12,0.6,3,8,0.4,2,8,0.4,2,8,0.4,2,8,0.4,2,16,0.8,4
S04147,Addition,0,6,0.3,1,10,0.5,2,14,0.7,3,12,0.6,3,8,0.4,1,10,0.5,2,14,0.7,3,10,0.5,2
S04798,Comparing Fractions,1,12,0.6,3,6,0.3,1,12,0.6,2,8,0.4,1,12,0.6,3,14,0.7,3,16,0.8,3,18,0.9,4
S02973,Subtraction,7,16,0.8,4,2,0.1,0,6,0.3,0,6,0.3,1,4,0.2,1,10,0.5,1,6,0.3,1,0,0.0,0
S04589,Multiplication,4,16,0.8,4,12,0.6,3,12,0.6,3,12,0.6,3,2,0.1,0,12,0.6,3,18,0.9,4,16,0.8,3
S01708,Simplifying Fractions,6,12,0.6,2,6,0.3,1,16,0.8,4,12,0.6,3,16,0.8,3,14,0.7,3,4,0.2,1,8,0.4,2
S00336,Multiplication,4,12,0.6,3,18,0.9,4,12,0.6,2,10,0.5,2,2,0.1,0,10,0.5,2,10,0.5,2,20,1.0,5
S04123,Fraction to Decimal,3,12,0.6,2,8,0.4,2,12,0.6,2,4,0.2,1,18,0.9,4,16,0.8,3,12,0.6,2,12,0.6,3
S04080,Comparing Fractions,1,14,0.7,3,4,0.2,0,14,0.7,3,10,0.5,2,12,0.6,3,12,0.6,2,16,0.8,4,20,1.0,5
S02179,Division,2,8,0.4,1,12,0.6,2,4,0.2,1,8,0.4,0,6,0.3,1,4,0.2,1,14,0.7,3,10,0.5,2
S00886,Comparing Fractions,1,10,0.5,2,6,0.3,1,8,0.4,0,14,0.7,2,10,0.5,2,8,0.4,2,8,0.4,2,14,0.7,3
S01898,Addition,0,12,0.6,2,16,0.8,4,18,0.9,4,14,0.7,3,12,0.6,2,16,0.8,4,16,0.8,4,14,0.7,3
S01482,Ordering Fractions,5,12,0.6,3,10,0.5,2,12,0.6,3,12,0.6,2,16,0.8,4,4,0.2,1,14,0.7,3,4,0.2,0
S02715,Subtraction,7,4,0.2,1,10,0.5,2,16,0.8,4,10,0.5,1,2,0.1,0,16,0.8,3,12,0.6,3,2,0.1,0
S01452,Multiplication,4,16,0.8,4,12,0.6,2,20,1.0,5,10,0.5,2,4,0.2,1,8,0.4,2,20,1.0,5,20,1.0,5
S02133,Fraction to Decimal,3,12,0.6,3,6,0.3,1,8,0.4,2,4,0.2,1,10,0.5,2,10,0.5,2,6,0.3,1,14,0.7,3
S01509,Ordering Fractions,5,8,0.4,2,14,0.7,3,12,0.6,3,18,0.9,4,16,0.8,3,8,0.4,2,10,0.5,2,10,0.5,2
S02549,Fraction to Decimal,3,18,0.9,4,14,0.7,3,16,0.8,4,10,0.5,2,16,0.8,4,12,0.6,3,14,0.7,3,16,0.8,3
S06124,Division,2,8,0.4,2,12,0.6,3,8,0.4,2,16,0.8,4,12,0.6,3,16,0.8,4,12,0.6,3,12,0.6,3
S04282,Addition,0,2,0.1,0,12,0.6,3,8,0.4,2,14,0.7,3,6,0.3,1,12,0.6,3,14,0.7,3,12,0.6,3
S01486,Simplifying Fractions,6,16,0.8,4,6,0.3,1,14,0.7,3,14,0.7,3,16,0.8,4,14,0.7,3,6,0.3,1,10,0.5,2
S05072,Addition,0,2,0.1,0,8,0.4,2,8,0.4,2,4,0.2,1,16,0.8,4,12,0.6,3,8,0.4,2,4,0.2,1
S00710,Comparing Fractions,1,16,0.8,3,6,0.3,1,10,0.5,1,10,0.5,2,14,0.7,3,18,0.9,4,10,0.5,1,12,0.6,3
S03246,Subtraction,7,12,0.6,2,16,0.8,3,20,1.0,5,12,0.6,2,16,0.8,4,12,0.6,2,12,0.6,3,10,0.5,2
S02939,Addition,0,4,0.2,1,6,0.3,1,12,0.6,2,8,0.4,2,12,0.6,3,18,0.9,4,4,0.2,1,8,0.4,2
S05912,Addition,0,0,0.0,0,6,0.3,1,20,1.0,5,8,0.4,2,0,0.0,0,8,0.4,2,8,0.4,2,16,0.8,4
S02669,Multiplication,4,10,0.5,1,10,0.5,2,14,0.7,3,8,0.4,1,0,0.0,0,18,0.9,4,14,0.7,3,10,0.5,2
S05766,Comparing Fractions,1,8,0.4,2,0,0.0,0,12,0.6,3,4,0.2,1,14,0.7,3,18,0.9,4,16,0.8,4,4,0.2,1
S02613,Ordering Fractions,5,18,0.9,4,12,0.6,3,14,0.7,3,14,0.7,3,12,0.6,2,10,0.5,2,16,0.8,4,18,0.9,4
S05348,Simplifying Fractions,6,12,0.6,3,12,0.6,3,8,0.4,2,10,0.5,2,16,0.8,4,10,0.5,2,4,0.2,1,6,0.3,1
S04116,Fraction to Decimal,3,18,0.9,4,14,0.7,3,8,0.4,2,4,0.2,0,8,0.4,1,8,0.4,2,12,0.6,2,20,1.0,5
S00775,Simplifying Fractions,6,10,0.5,2,18,0.9,4,14,0.7,3,12,0.6,3,14,0.7,3,14,0.7,2,10,0.5,2,10,0.5,2
S03650,Multiplication,4,12,0.6,2,16,0.8,4,16,0.8,4,12,0.6,2,12,0.6,3,14,0.7,3,14,0.7,3,14,0.7,3
S01314,Subtraction,7,12,0.6,3,14,0.7,3,12,0.6,3,10,0.5,2,14,0.7,3,10,0.5,2,12,0.6,3,8,0.4,1
S04653,Multiplication,4,10,0.5,2,2,0.1,0,14,0.7,3,14,0.7,3,2,0.1,0,14,0.7,2,16,0.8,4,4,0.2,0
S06092,Addition,0,4,0.2,1,4,0.2,1,16,0.8,4,8,0.4,2,12,0.6,3,8,0.4,2,8,0.4,2,12,0.6,3
S03781,Simplifying Fractions,6,16,0.8,4,20,1.0,5,14,0.7,3,16,0.8,4,10,0.5,2,16,0.8,4,8,0.4,2,16,0.8,4
S02290,Division,2,18,0.9,4,8,0.4,1,8,0.4,1,12,0.6,3,10,0.5,2,10,0.5,2,8,0.4,1,18,0.9,4
S06191,Division,2,8,0.4,2,12,0.6,3,0,0.0,0,8,0.4,2,8,0.4,2,16,0.8,4,4,0.2,1,16,0.8,4
S03037,Simplifying Fractions,6,16,0.8,4,16,0.8,4,8,0.4,1,10,0.5,1,10,0.5,2,8,0.4,2,8,0.4,2,12,0.6,2
S02547,Comparing Fractions,1,16,0.8,3,6,0.3,1,12,0.6,3,16,0.8,4,16,0.8,4,16,0.8,4,16,0.8,4,12,0.6,3
S00705,Addition,0,8,0.4,1,16,0.8,4,12,0.6,3,16,0.8,3,12,0.6,2,12,0.6,3,16,0.8,3,14,0.7,3
S04240,Subtraction,7,14,0.7,3,16,0.8,3,12,0.6,3,12,0.6,3,12,0.6,3,12,0.6,3,12,0.6,3,8,0.4,1
S05357,Subtraction,7,20,1.0,5,4,0.2,1,12,0.6,3,4,0.2,1,12,0.6,3,16,0.8,4,20,1.0,5,4,0.2,1
S00463,Fraction to Decimal,3,10,0.5,2,10,0.5,2,14,0.7,3,8,0.4,1,12,0.6,2,8,0.4,1,10,0.5,2,12,0.6,3
S06126,Division,2,4,0.2,1,8,0.4,2,0,0.0,0,8,0.4,2,16,0.8,4,12,0.6,3,16,0.8,4,4,0.2,1
S05672,Addition,0,0,0.0,0,8,0.4,2,12,0.6,3,4,0.2,1,16,0.8,4,10,0.5,2,12,0.6,3,8,0.4,2
S05221,Simplifying Fractions,6,14,0.7,3,4,0.2,1,4,0.2,1,12,0.6,3,14,0.7,3,8,0.4,2,0,0.0,0,8,0.4,2
S05523,Multiplication,4,8,0.4,2,4,0.2,1,10,0.5,2,8,0.4,2,4,0.2,1,20,1.0,5,18,0.9,4,8,0.4,2
S00028,Subtraction,7,20,1.0,5,20,1.0,5,14,0.7,3,18,0.9,4,14,0.7,3,14,0.7,3,14,0.7,3,12,0.6,2
S06086,Addition,0,4,0.2,1,12,0.6,3,16,0.8,4,20,1.0,5,8,0.4,2,8,0.4,2,8,0.4,2,20,1.0,5
S00677,Addition,0,8,0.4,1,8,0.4,1,12,0.6,3,14,0.7,2,20,1.0,5,10,0.5,2,18,0.9,4,8,0.4,2
S04766,Division,2,6,0.3,1,4,0.2,0,2,0.1,0,12,0.6,2,20,1.0,5,12,0.6,3,16,0.8,4,10,0.5,2
S00582,Fraction to Decimal,3,6,0.3,1,8,0.4,2,14,0.7,3,6,0.3,1,10,0.5,2,16,0.8,4,14,0.7,3,12,0.6,3
S00267,Simplifying Fractions,6,12,0.6,3,8,0.4,1,4,0.2,1,6,0.3,0,14,0.7,3,10,0.5,2,4,0.2,1,6,0.3,1
S00420,Ordering Fractions,5,14,0.7,3,14,0.7,3,14,0.7,3,10,0.5,2,14,0.7,3,6,0.3,0,10,0.5,2,20,1.0,5
S05633,Simplifying Fractions,6,8,0.4,2,14,0.7,3,10,0.5,2,8,0.4,2,8,0.4,2,12,0.6,3,0,0.0,0,0,0.0,0
S01812,Addition,0,4,0.2,1,8,0.4,2,16,0.8,4,6,0.3,1,12,0.6,2,10,0.5,2,14,0.7,3,12,0.6,3
S04062,Multiplication,4,12,0.6,2,16,0.8,3,14,0.7,3,6,0.3,1,4,0.2,1,18,0.9,4,6,0.3,1,20,1.0,5
S04983,Simplifying Fractions,6,8,0.4,2,10,0.5,2,8,0.4,1,14,0.7,3,8,0.4,2,16,0.8,4,0,0.0,0,0,0.0,0
S03445,Fraction to Decimal,3,8,0.4,1,16,0.8,3,10,0.5,2,8,0.4,1,16,0.8,3,12,0.6,2,12,0.6,2,8,0.4,2
S01868,Addition,0,6,0.3,1,12,0.6,3,16,0.8,4,16,0.8,3,10,0.5,2,16,0.8,4,14,0.7,3,18,0.9,4
S04460,Simplifying Fractions,6,12,0.6,3,12,0.6,2,8,0.4,2,12,0.6,3,12,0.6,3,2,0.1,0,0,0.0,0,12,0.6,3
S01177,Division,2,14,0.7,3,14,0.7,3,4,0.2,1,6,0.3,0,14,0.7,3,10,0.5,2,4,0.2,0,12,0.6,2
S05279,Simplifying Fractions,6,10,0.5,2,20,1.0,5,14,0.7,3,16,0.8,4,8,0.4,2,18,0.9,4,4,0.2,1,8,0.4,2
S03982,Fraction to Decimal,3,14,0.7,3,6,0.3,1,20,1.0,5,6,0.3,1,14,0.7,3,16,0.8,3,16,0.8,4,14,0.7,3
