weak_area,video_title,video_url,video_duration,difficulty_level,content_quality_score,student_suitability_score,recommendation_score
Division,Basic Division,https://youtu.be/KGMf314LUc0?si=jxaKi8tja1iw8LUl,9:57,Beginner,8.4,7.963,8.104
Division,Basic Division,https://youtu.be/KGMf314LUc0?si=jxaKi8tja1iw8LUl,9:57,Beginner,8.4,8.267,8.201
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,8.022,8.03
Division,Long Division with 2-Digit Divisors,https://youtu.be/HdU_rf7eMTI?si=Pr40TqBRgGXrpLxG,13:04,Intermediate,8.6,7.164,7.68
Multiplication,Long Multiplication for Grade 7,https://www.youtube.com/watch?v=r85EMNbWMiE,21:00,Beginner,9.2,7.076,7.613
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,9.269,8.104
Simplifying Fractions,Learn Fraction Simplification,https://youtu.be/IuB8yTJ0-hk?si=8-bnaKA-irwAua1m,6:20,Intermediate,8.0,7.126,7.367
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,7.212,7.685
Division,Long Division with 2-Digit Divisors,https://youtu.be/HdU_rf7eMTI?si=Pr40TqBRgGXrpLxG,13:04,Intermediate,8.6,7.29,7.626
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,8.58,8.055
Division,Division Basics for Beginners,https://youtu.be/InIKW_tfhs4?si=i3EqqM2A_6JHTQYh,3:44,Intermediate,7.8,7.612,7.809
Simplifying Fractions,Learn Fraction Simplification,https://youtu.be/IuB8yTJ0-hk?si=8-bnaKA-irwAua1m,6:20,Intermediate,8.0,8.692,7.887
Ordering Fractions,Learn Ordering Fractions,https://youtu.be/QECYScPz4sA?si=qJW4l4BvbXma1lOP,10:15,Intermediate,8.5,7.834,7.649
Fractions to Decimals,How to Convert Fractions to Decimals,https://www.youtube.com/watch?v=guBVW5PiHLs&list=PPSV,8:29,Beginner,9.1,9.585,8.831
Comparing Fractions,Mastering Comparing Fractions,https://youtu.be/PEqV48jMeXw?si=55QJueBjYIoAgbk0,11:09,Advanced,8.7,9.283,8.312
Ordering Fractions,Mastering Fractions,https://youtu.be/XvjQcHbUNNw?si=Xyv5SPufpJclBZIf,8:00,Advanced,8.7,9.246,8.016
Division,Long Division for Grade 7,https://www.youtube.com/watch?v=J15nbHRpSiQ,19:57,Beginner,9.0,7.49,7.896
Multiplication,Master Long Multiplication,https://youtu.be/GKetIwxaenA?si=9tvgkeqmmfUZ80xX,6:25,Beginner,8.5,7.725,7.915
Comparing Fractions,Introduction to Comparing Fractions,https://www.youtube.com/watch?v=KNdUJQ_qd4U,6:30,Beginner,8.3,7.264,7.874
Comparing Fractions,Comparing Fractions with different Denominators,https://youtu.be/d6fCqzuWjbo?si=eVQb7MoRlFCtsvGj,10:11,Intermediate,8.6,7.3,7.596
Simplifying Fractions,Simplifying Fractions,https://www.youtube.com/watch?v=AtBUQH8Tkqc&t=67s,8:30,Beginner,9.0,7.056,7.885
Fractions to Decimals,Introduction to Fractions to Decimals,https://youtu.be/pDs4a4ijqh0?si=ktPINIYpIFYNILOV,8:00,Intermediate,8.0,9.192,8.137
Subtraction,Subtracting Large Numbers,https://youtu.be/HlxqCdDrbdc?si=1RAFlZfZuuD3LnjX,5:04,Intermediate,8.0,9.524,8.34
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,9.888,8.576
Fractions to Decimals,Mastering Fractions to Decimals,https://youtu.be/Mpv7AzOUOqg?si=dMjxnFwXU98D4MpH,9:06,Advanced,8.5,9.291,8.346
Comparing Fractions,Comparing Fractions,https://www.youtube.com/watch?v=u_QTuWj107o,7:42,Beginner,8.9,8.301,8.384
Simplifying Fractions,Reducing Fractions to Simplest Form,https://youtu.be/gVls1-gjIn0?si=vXNqJqUYBvTrC8xT,11:19,Advanced,8.5,7.197,7.44
Comparing Fractions,Introduction to Comparing Fractions,https://www.youtube.com/watch?v=KNdUJQ_qd4U,6:30,Beginner,8.3,8.128,8.166
Simplifying Fractions,Simplifying Fractions,https://www.youtube.com/watch?v=AtBUQH8Tkqc&t=67s,8:30,Beginner,9.0,9.149,8.432
Fractions to Decimals,How to Convert Fractions to Decimals,https://www.youtube.com/watch?v=guBVW5PiHLs&list=PPSV,8:29,Beginner,9.1,7.644,7.974
Ordering Fractions,Fraction Ordering,https://youtu.be/76s8ZzK87rA?si=F0Z4GtJkicWyq5_A,14:40,Intermediate,7.9,8.686,7.746
Fractions to Decimals,Introduction to Fractions to Decimals,https://youtu.be/pDs4a4ijqh0?si=ktPINIYpIFYNILOV,8:00,Intermediate,8.0,9.928,8.423
Ordering Fractions,Fraction Ordering,https://youtu.be/76s8ZzK87rA?si=F0Z4GtJkicWyq5_A,14:40,Intermediate,7.9,8.689,7.756
Ordering Fractions,How to Order Fractions,https://www.youtube.com/watch?v=i2PfHDs88YE,6:33,Beginner,8.8,8.084,8.275
Multiplication,Master Long Multiplication,https://youtu.be/GKetIwxaenA?si=9tvgkeqmmfUZ80xX,6:25,Beginner,8.5,8.623,8.447
Comparing Fractions,Introduction to Comparing Fractions,https://www.youtube.com/watch?v=KNdUJQ_qd4U,6:30,Beginner,8.3,8.731,8.423
Simplifying Fractions,How to Simplify Fractions,https://youtu.be/R-FXE3g8GpU?si=TcmelTK3iD3Nzco1,16:06,Intermediate,8.7,9.315,8.26
Simplifying Fractions,Reducing Fractions to Simplest Form,https://youtu.be/gVls1-gjIn0?si=vXNqJqUYBvTrC8xT,11:19,Advanced,8.5,9.192,8.229
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,9.048,8.253
Addition,Multi-Digit Addition,https://youtu.be/mAvuom42NyY?si=3Om627A44-sGimLU,6:28,Beginner,8.5,8.796,8.326
Ordering Fractions,Fraction Ordering,https://youtu.be/76s8ZzK87rA?si=F0Z4GtJkicWyq5_A,14:40,Intermediate,7.9,8.055,7.368
Ordering Fractions,Learn Ordering Fractions,https://youtu.be/QECYScPz4sA?si=qJW4l4BvbXma1lOP,10:15,Intermediate,8.5,7.493,7.736
Fractions to Decimals,Mastering Fractions to Decimals,https://youtu.be/Mpv7AzOUOqg?si=dMjxnFwXU98D4MpH,9:06,Advanced,8.5,9.835,8.527
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,8.567,8.305
Division,Basic Division,https://youtu.be/KGMf314LUc0?si=jxaKi8tja1iw8LUl,9:57,Beginner,8.4,7.164,7.566
Fractions to Decimals,How to Convert Fractions to Decimals,https://www.youtube.com/watch?v=guBVW5PiHLs&list=PPSV,8:29,Beginner,9.1,8.918,8.795
Subtraction,Multi-Digit Subtraction,https://youtu.be/Y6M89-6106I?si=6dT-roRnqAH6OHdl,6:56,Beginner,8.3,9.954,8.735
Subtraction,Introduction to Subtraction,https://youtu.be/r3qKojj4g4g?si=-XA75LAElZS8jQOy,10:42,Advanced,8.6,7.501,7.507
Addition,Adding Three Decimals,https://youtu.be/sQ1W919fgq8?si=V7TgnmmWgHYc_A5P,4:55,Beginner,8.2,9.884,8.867
Fractions to Decimals,Introduction to Fractions to Decimals,https://youtu.be/pDs4a4ijqh0?si=ktPINIYpIFYNILOV,8:00,Intermediate,8.0,7.142,7.343
Subtraction,Smart Subtraction,https://youtu.be/3fYgZgbOJmM?si=0Xq66JMU0XrVlOsn,13:38,Intermediate,7.9,9.077,7.97
Multiplication,Understanding Multiplication,https://youtu.be/_PyA3CJ-V98?si=mTi02JfyOo0ydPLR,13:18,Intermediate,8.8,7.378,7.621
Ordering Fractions,Mastering Fractions,https://youtu.be/XvjQcHbUNNw?si=Xyv5SPufpJclBZIf,8:00,Advanced,8.7,8.494,8.107
Division,Basic Division,https://youtu.be/KGMf314LUc0?si=jxaKi8tja1iw8LUl,9:57,Beginner,8.4,9.927,8.64
Fractions to Decimals,Converting Fractions to Decimals,https://youtu.be/UtHGpx_yp4U?si=tVG8XzrdqWBZp_hs,7:54,Intermediate,8.7,7.162,7.742
Multiplication,Multi-Digit Multiplication,https://youtu.be/dNSrfoYLQZU?si=fjPUGvSBAA5fmj_V,5:02,Advanced,8.3,8.949,8.329
Ordering Fractions,Introduction to Ordering Fractions,https://youtu.be/rL18ZMgCeKU?si=nixffH9YSe3hdGgm,12:04,Beginner,8.2,7.151,7.531
Ordering Fractions,Mastering Fractions,https://youtu.be/XvjQcHbUNNw?si=Xyv5SPufpJclBZIf,8:00,Advanced,8.7,7.839,7.836
Addition,Adding Large Numbers,https://youtu.be/T9asFgfN5bg?si=CI2z3n21hND5aFvQ,5:03,Intermediate,7.8,8.003,7.577
Fractions to Decimals,Convert any Fraction to a Decimal,https://youtu.be/do_IbHId2Os?si=WyTbHiTgY6AaEz_L,6:43,Beginner,8.4,7.165,7.663
Comparing Fractions,Comparing Fractions with different Denominators,https://youtu.be/d6fCqzuWjbo?si=eVQb7MoRlFCtsvGj,10:11,Intermediate,8.6,8.489,8.08
Fractions to Decimals,Converting Fractions to Decimals,https://youtu.be/UtHGpx_yp4U?si=tVG8XzrdqWBZp_hs,7:54,Intermediate,8.7,7.771,7.818
Addition,Decimal Arithmetic,https://www.youtube.com/watch?v=kwh4SD1ToFc,12:14,Intermediate,9.0,9.43,8.633
Multiplication,Box Method Multiplication,https://youtu.be/n3q3XzzIGSY?si=goczDT3wCWGEkSvm,7:19,Intermediate,8.0,8.985,8.077
Simplifying Fractions,Introduction to Simplifying Fractions,https://youtu.be/k73w_yZb9SM?si=sIcPAuwAjD24B_pV,7:30,Beginner,8.4,7.966,8.05
Ordering Fractions,Fraction Ordering,https://youtu.be/76s8ZzK87rA?si=F0Z4GtJkicWyq5_A,14:40,Intermediate,7.9,9.696,7.906
Division,Long Division for Grade 7,https://www.youtube.com/watch?v=J15nbHRpSiQ,19:57,Beginner,9.0,7.556,7.738
Addition,Multi-Digit Addition,https://youtu.be/mAvuom42NyY?si=3Om627A44-sGimLU,6:28,Beginner,8.5,8.368,8.342
